,Week,Player,Deck Name,Card 1,Card 2,Card 3,Card 4,Card 5,Score,Adjusted Score
65,6,lapis,balanced boros,rustvale bridge,simian spirit guide,electrodominance,restore balance,the rack,26,2.2
66,6,ben,try this on for size!,plains,calciform pools,mana tithe,stoneforge mystic,kaldra compleat,20,1.7
67,6,jack,"""i'm in""",swamp,sleeper agent,death's shadow,force of despair,leyline of the void,13,1.1
68,7,colton,ymir's fury,simian spirit guide,amulet of vigor,simic growth chamber,summer bloom,frost titan,38,3.8
69,7,jesse,legal culpability,forbidden orchard,forbidden orchard,porphyry nodes,"boseiju, who endures",trespasser's curse,20,2.0
70,7,dustin,leyline still playable,leyline of the guildpact,leyline of the guildpact,sunken citadel,"nykthos, shrine to nyx",karn liberated,27,2.7
71,7,lapis,trinisphere beatdown,chrome mox,chancellor of the tangle,dreadship reef,trinisphere,"tezzeret, agent of bolas",27,2.7
72,7,nadia,through the omenpaths,aether vial,riling dawnbreaker,twinmaw stormbrood,snow-covered mountain,snow-covered plains,14,1.4
73,7,patrick,just another rock,"boseiju, who endures",blooming marsh,"cecil, dark knight",assassin's trophy,turn the earth,26,2.6
74,7,john,you get a giant! and you get a giant! everyone gets a giant!,hive mind,pact of the titan,lotus bloom,lotus bloom,leyline of anticipation,30,3.0
75,7,jack,"""can you cont to 7?""",urza's tower,urza's mine,urza's power plant,karn liberated,conjurer's bauble,17,1.7
76,7,edi,i'm gonna tell my therapist on you,"urborg, tomb of yawgmoth",radiant fountain,smallpox,"kozilek, butcher of truth",cabal therapist,31,3.1
77,7,ben,going ballist(a)ic,khalni garden,phyrexian tower,blade of the bloodchief,basking broodscale,walking ballista,10,1.0
78,8,colton,warrior cats,cavern of souls,mishra's factory,mistbreath elder,"ajani, nacatl pariah",stingscourger,50,5.0
79,8,dustin,tithe with wings,eye of ugin,leyline of the guildpact,hope-ender coatl,hope-ender coatl,alpine moon,22,2.2
80,8,edi,cecil and the counterspells,darkslick shores,"cecil, dark knight",mental misstep,force of negation,consign to memory,37,3.7
81,8,lapis,fuck you it's vampire ,chrome mox,chancellor of the tangle,snow-covered swamp,"sorin, imperious bloodlord",vein ripper,14,1.4
82,8,nadia,mono white delver,mana tithe,mox opal,ancient den,pithing needle,glint hawk,11,1.1
83,8,jesse,hurricane insurance,spirebluff canal,nivmagus elemental,gut shot,mental misstep,flusterstorm,27,2.7
84,8,john,cecil's seashells by the slick shore,darkslick shores,"cecil, dark knight",sea's claim,stream of thought,force of negation,37,3.7
85,8,patrick,bonk,chancellor of the tangle,chancellor of the tangle,chancellor of the tangle,hypergenesis,mental misstep,6,0.6
86,8,jack,rube goldberg ma-tree-ne,leyline of transformation,badgermole cub,moonmist,westvale abbey,dryad arbor,16,1.6
87,8,ryder,precious,mountain,rite of flame,rite of flame,mental misstep,lodestone golem,26,2.6
88,9,colton,wrenn and five (card blind),chrome mox,grove of the burnwillows,wrenn and six,"boseiju, who endures",punishing fire,24,3.0
89,9,john,reaper mana,leyline of abundance,dryad arbor,pili-pala,song of freyalise,mental misstep,16,2.0
90,9,jesse,training grounds/pili-pala-less training grounds/pili-pala,patrol signaler,leyline of abundance,paradise mantle,mox opal,darksteel citadel,17,2.1
91,9,patrick,gobble gobble,chancellor of the forge,chancellor of the forge,chancellor of the forge,leyline of the meek,leyline of the meek,14,1.8
92,9,dustin,grand slamwich,dunes of the dead,lotus field,amulet of vigor,conjurer's bauble,second sunrise,18,2.3
93,9,edi,"""You know that scene in IASIP where Dennis goes all 'My rage knows no bounds!' and he goes all red and shit? Yeah, that's the name""",chancellor of the forge,concealed courtyard,cabal therapist,ephemerate,fury,30,3.8
94,9,nadia,ragavan's wild ride,assassin's trophy,"boseiju, who endures",mana confluence,"ragavan, nimble pilferer",turn the earth,24,3.0
95,9,jack,one-hawk squadron,Swamp,Chrome mox,"Senu, keen-eyed protector","Syr Vondam, sunstar exemplar",Dusk rose reliquary,9,1.1
96,10,colton,psychic attack,chrome mox,cavern of souls,sleep-cursed faerie,"arachne, psionic weaver",soul partition,24,2.7
97,10,dustin,ward seems good,swamp,swamp,cabal therapist,sunset saboteur,fatal push,27,3.0
98,10,spada,rambi tempo,mental misstep,force of negation,into the flood maw,crashing footfalls,botanical sanctum,36,4.0
99,10,edi,stupid sexy oko,chancellor of the tangle,chrome mox,island,"oko, thief of crowns",decisive denial,21,2.3
100,10,nadia,“did you really just refer to that dragon as Roast Mommy?”,inspiring vantage,mishra's factory,twinmaw stormbrood,riling dawnbreaker,aether vial,36,4.0
101,10,patrick,infinite mana?,phyrexian tower,crumbling vestige,amulet of vigor,badgermole cub,springheart nantuko,2,0.2
102,10,lapis,trinisphere beatdown,chrome mox,chancellor of the tangle,dreadship reef,trinisphere,"tezzeret, agent of bolas",20,2.2
103,10,jesse,fist of the night market star,paradise mantle,night market lookout,freed from the real,seat of the synod,mox opal,8,0.9
104,10,john,Help! I was Phyrexia's greatest assassin charged with destroying the Weatherlight but I got hit by a bus and now I'm reincarned as a weird little robot insect thing and my weird little robot insect thing  parents are making me go to school with ghosts.,inkmoth nexus,nephalia academy,blazing shoal,coalition victory,mental misstep,26,2.9
105,11,colton,ugin's moving bridge,ugin's labyrinth,mage-ring network,"ugin, the spirit dragon",ensnaring bridge,conjurer's bauble,30,3.8
106,11,dustin,monastery mentor at home,island,stormchaser's talent,tel-jilad stylus,mental misstep,gut shot,32,4.0
107,11,edi,everybody's favorite deck: bogles!,hallowed fountain,path to exile,slippery bogle,pact of negation,angel's grace,18,2.3
108,11,patrick,actually a standard card,amulet of vigor,simian spirit guide,simic growth chamber,summer bloom,living conundrum,18,2.3
109,11,john,one way ticket to sannikov land,lotus bloom,amulet of vigor,brought back,conjurer's bauble,door to nothingness,12,1.5
110,11,spada,yes-wincon elixir control,dreadship reef,creeping tar pit,baleful mastery,elixir of immortality,boomerang basics,14,1.8
111,11,nadia,"“if i ever submit the card Mishara’s Foundry, please note that this was a mistake and i meant to submit Mishra’s Factory”",mishra's factory,paradise mantle,memnite,"arachne, psionic weaver",mental misstep,20,2.5
112,11,lapis,questionable pact deck,razorverge thicket,angel's grace,pact of negation,pact of the titan,serene remembrance,12,1.5
113,12,colton,robo-bebop-and-rocksteady,leyline axe,leyline axe,leyline axe,metalwork colossus,salvage titan,36,4.5
114,12,spada,"Ojón is so much more expressive than ""Big-eyed""",eldrazi mimic,thought-knot seer,thought-knot seer,eldrazi temple,eye of ugin,24,3.0
115,12,nadia,mono white delver,cavern of souls,inspiring vantage,apostle's blessing,demonic ruckus,vault skirge,2,0.3
116,12,john,The werewolf is an archaeology professor and we are all very normal about that.,academy ruins,sunken citadel,the filigree sylex,geier reach sanitarium,lupine prototype,21,2.6
117,12,patrick,Kitty Kat Attakk 2: Katastrophy,cavern of souls,ocelot pride,ocelot pride,leyline of hope,leyline of vitality,19,2.4
118,12,edi,"I'm not going to bolt you, I'm going to bolt... The Moon!",chancellor of the tangle,chrome mox,copperline gorge,wheel of sun and moon,lightning bolt,10,1.3
119,12,dustin,mission impossible theme,mage-ring network,"urborg, tomb of yawgmoth",conjurer's bauble,cruelclaw's heist,long goodbye,7,0.9
120,12,lapis,turn 3 emrakul (AND a food token),island,shelldock isle,the underworld cookbook,mental misstep,"emrakul, the aeons torn",30,3.8
121,13,colton,the peacekeepers say the blood moon landing was fake,chrome mox,magus of the moon,anointed peacekeeper,mox opal,darksteel citadel,20,2.5
122,13,edi,some faeries were harmed in the making of this deck,swamp,bitterblossom,molten slagheap,cabal therapist,rottenmouth viper,8,1.0
123,13,dustin,based on a true story,fervent champion,fervent champion,leyline axe,leyline axe,mountain,24,3.0
124,13,nadia,ragavan's holiday adventure,"ragavan, nimble pilferer","boseiju, who endures",turn the earth,crack the earth,copperline gorge,20,2.5
125,13,patrick,limping across the finish line,the underworld cookbook,sunken citadel,urza's saga,"emrakul, the aeons torn",goryo's vengeance,18,2.3
126,13,jack,"""The one I got in me""",swamp,chrome mox,"senu, keen-eyed protector","syr vondam, sunstar exemplar",dusk rose reliquary,18,2.3
127,13,lapis,I know this is john's deck but I almost submitted the same thing with serra ascendant a week ago after staring at the leyine page for an hour and then colton pointed out speaker of the heavens,cavern of souls,speaker of the heavens,speaker of the heavens,providence,leyline of hope,14,1.8
128,13,john,"""elves""",leyline of transformation,pendelhaven,noble hierarch,wirewood symbiote,chatterstorm,26,3.3
129,14,colton,beat the springleaf drums of psychic spider-war,"arachne, psionic weaver",memnite,springleaf drum,mishra's factory,field of ruin,34,4.3
130,14,dustin,"Dearest Samantha, As the war in this wasteland wages on, destroying anything in its path, the only things keeping me going are the thought of you sitting back home for me, my ring on your finger, and my proclivity to continue to regularly consume ten micrograms of a substance I’ve come to know as LSD in what is considered a “microdose.”",seat of the synod,mox opal,sunscorched desert,tel-jilad stylus,reality acid,20,2.5
131,14,john,20 minutes no rush,hall of heliod's generosity,sunken citadel,urza's saga,abiding grace,kami of false hope,20,2.5
132,14,patrick,josh can eggs with this,disciple of the vault,locket of yesterdays,conjurer's bauble,conjurer's bauble,snow-covered swamp,12,1.5
133,14,edi,"Insolate Neonate kinda looks like a hunchback, right? ",cavern of souls,swamp,insolent neonate,nullstone gargoyle,persist,14,1.8
134,14,spada,The Twenty-Five-Dollar Four-Thousand-Dollar Solution,ugin's labyrinth,calciform pools,spellskite,aladdin's ring,ensnaring bridge,5,0.6
135,14,lapis,use every card as an elk,chrome mox,chancellor of the tangle,seat of the synod,"oko, thief of crowns",serum snare,32,4.0
136,14,nadia,"oh idk. just whatever i did last week. you can use the same deck name i submitted for the previous deck, sorry i didn't have time to come up with a new one",silverbluff bridge,burning inquiry,nether spirit,mental misstep,snapback,18,2.3
137,15,colton,the great molasses flood of 1919,cavern of souls,leyline of the guildpact,leyline of anticipation,bloodhall ooze,crack the earth,14,1.8
138,15,nadia,it that can eggs with this,conjurer's bauble,conjurer's bauble,glaring fleshraker,eldrazi temple,mishra's factory,24,3.0
139,15,edi,"The winner of the tournament of champi- Oh, that one's banned? Well, I guess second place is good as well🙄🙄",simian spirit guide,merchant of the vale,shelldock isle,"emrakul, the aeons torn","minamo, school at water's edge",22,2.8
140,15,john,Inevitable Spaghetti 2: Eclectic Hullabaloo,ugin's labyrinth,"emrakul, the aeons torn",mimic,as foretold,restore balance,4,0.5
141,15,dustin,john.dek,lotus bloom,the sibsig ceremony,myr retriever,myr retriever,nephalia academy,18,2.3
142,15,patrick,A Pox upon my soul:,the underworld cookbook,smallpox,"emrakul, the aeons torn","urborg, tomb of yawgmoth",dreadship reef,22,2.8
143,15,lapis,what if i just submitted the same deck again and everyone had to keep dealing with t1 oko,chrome mox,chancellor of the tangle,seat of the synod,"oko, thief of crowns",serum snare,30,3.8
144,15,spada,"yeah, it looks a bit like edi",stern scolding,force of negation,path to exile,slippery bogle,seachrome coast,26,3.3
145,16,colton,griffin control,force of negation,misthollow griffin,snapback,mishra's factory,calciform pools,42,4.2
146,16,dustin,nasty terasty,nephalia academy,swamp,the underworld cookbook,terastodon,persist,20,2.0
147,16,spada,This is top-shelf jank and I'm proud of it,forest,helix pinnacle,lotus bloom,solitary confinement,"squee, goblin nabob",8,0.8
148,16,edi,🧀,lotus bloom,lotus bloom,barren glory,sunscour,solitude,30,3.0
149,16,sammy,an unfathomable number of memnites,memnite,memnite,memnite,memnite,memnite,1,0.1
150,16,patrick,Fast spaghetti:,leyline of anticipation,shelldock isle,silverbluff bridge,burning inquiry,"emrakul, the aeons torn",36,3.6
151,16,nadia,mono white delver,leyline axe,leyline axe,leyline axe,salvage titan,metalwork colossus,33,3.3
152,16,lapis,turn 1 oko again,mox opal,darksteel citadel,tel-jilad stylus,pithing needle,yotia declares war,20,2.0
153,16,john,He's just a little guy (and it's his birthday),silverbluff bridge,blisterspit gremlin,peter parker's camera,mox opal,retraction helix,20,2.0
154,16,travis,"""Please don't play 2 threats""",leyline of the guildpact,leyline binding,gemstone caverns,crashing footfalls,spell pierce,40,4.0
155,17,colton,just a glimpse into my dark reality. a full stare into my twisted perspective would make most simply go insane lmao,swamp,"cecil, dark knight",force of despair,leyline of the void,unearth,26,2.6
156,17,edi,i'll take the draw,chancellor of the tangle,gemstone caverns,spell pierce,crashing footfalls,pithing needle,34,3.4
157,17,jesse,Theme week!!!!!,seachrome coast,seam rip,mental misstep,fragmentize,sleep-cursed faerie,11,1.1
158,17,patrick,"""The Rock, but it's that really big one Sysiphus has to roll up a hill every day""",amulet of vigor,"vraska, relic seeker",summer bloom,simian spirit guide,golgari rot farm,14,1.4
159,17,spada,"""Is that a slice of banana on the TMNT plains pizza?""",tragic trajectory,mental misstep,conjurer's bauble,sleep-cursed faerie,darkslick shores,20,2.0
160,17,john,Cecil's Sequel by the Slick Shore,darkslick shores,"cecil, dark knight",force of negation,sea's claim,stream of thought,34,3.4
161,17,nadia,Good Ol' Rock. Nothing beats Rock. ,chancellor of the tangle,crashing footfalls,force of vigor,nephalia academy,pithing needle,25,2.5
162,17,andrew,up to 2 for the price of 2,botanical sanctum,sleep-cursed faerie,crashing footfalls,force of vigor,meltstrider's resolve,32,3.2
163,17,lapis, i just got out of surgery yesterday so you'll forgive me for my unoriginality,chrome mox,chancellor of the tangle,snow-covered island,"oko, thief of crowns",serum snare,28,2.8
164,17,dustin,praise helix,razorverge thicket,path to exile,pick your poison,conjurer's bauble,helix pinnacle,28,2.8
165,18,colton,"that's not blood, it's strawberry",leyline of anticipation,simian spirit guide,simian spirit guide,simian spirit guide,magus of the moon,20,2.0
166,18,jesse,Xu-Ifit's Shadow,hall of the bandit lord,mental misstep,"xu-ifit, osteoharmonist",death's shadow,lotus bloom,24,2.4
167,18,nadia,mark rosewater said not to do this,abraded bluffs,rite of flame,rite of flame,rite of flame,stormscale scion,20,2.0
168,18,dustin,other eldrazi land,leyline of the guildpact,eye of ugin,eldrazi temple,hope-ender coatl,reality smasher,30,3.0
169,18,spada,This is what GDS looked like in my mind when I started playing Modern,death's shadow,city of brass,mental misstep,noxious revival,dismember,34,3.4
170,18,patrick,mono brown control,urza's saga,mox opal,the underworld cookbook,"emrakul, the aeons torn","boseiju, who endures",22,2.2
171,18,edi,mono white delver,seachrome coast,inkmoth nexus,mana tithe,mana leak,blighted agent,15,1.5
172,18,andrew,"liar liar, hand's on fire",keldon megaliths,fungal reaches,burning inquiry,fury,ancient grudge,30,3.0
173,18,john,a dish best served twice,lotus bloom,lotus bloom,lotus bloom,reverberate,sorin's vengeance,18,1.8
174,18,travis,dogs can't pod race,scoured barrens,mishra's factory,"phelia, exuberant shepherd",momentum breaker,mental misstep,36,3.6
175,19,colton,mono brown control,sunken citadel,academy ruins,the filigree sylex,field of ruin,dismember,30,3.3
176,19,dustin,Technically an ECL Card,bloom tender,freed from the real,nephalia academy,kessig wolf run,leyline of the guildpact,8,0.9
177,19,patrick,FINE I'LL STOP PLAYING DEGENERATE COMBOS AND INTERACT,cavern of souls,sleep-cursed faerie,mental misstep,vexing bauble,dismember,34,3.8
178,19,jesse,breaking wind,restless bivouac,island,wind zendikon,wind zendikon,force of negation,27,3.0
179,19,nadia,jund chancellors,chancellor of the forge,chancellor of the tangle,phyrexian tower,"sorin, imperious bloodlord",vein ripper,12,1.3
180,19,edi,the homie retrieval squad,bojuka bog,phyrexian tower,myr retriever,myr retriever,the sibsig ceremony,0,0.0
181,19,john,taxes and death,leyline of the guildpact,eye of ugin,hope-ender coatl,hope-ender coatl,flare of malice,32,3.6
182,19,spada,rhino control,commandeer,subtlety,mental misstep,crashing footfalls,botanical sanctum,32,3.6
183,19,andrew,"""oh baby you! you got what I neeeed! but you say it's just a creature. but you say it's just a creature.""",cavern of souls,hexdrinker,mental misstep,force of negation,commandeer,27,3.0
